id_registro,class_session,time_register,year,month,day,hour,minute,seconds,faceOrientation,emotionRatio,attendanceRatio,bodyActionRatio,no_interaction_ratio,prof_stud_ratio,stud_stud_ratio,stud_obj_ratio,body_detections,distractors_dic.Eating,distractors_dic.Sleeping,distractors_dic.Walking,distractors_dic.Withcellphone,distractors_dic.Withearphones,Engagement,Attention,Interaction,Distractions,__v,Class time,Time,LUX,oxygenVol,Temperature,Humidity,AQI,TVOC,eCO2
66fb1ff17835ef5c35eb8e2c,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:25,2024,9,30,16,2,25,1,0.722519310754605,0.678571428571429,0.968774431622729,0.054553942789237,0.945446057210763,0,0,19,0,0,0,0,0,79.0044462761181,78.0594847189275,81.5932433579492,34.24419113738,0,12:41:00 a.m.,1727728810.10955,425,20.81381,29.62074,47.64709,1,37,429
66fb1ff67835ef5c35eb8e5f,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:30,2024,9,30,16,2,31,1,0.651515151515151,0.642857142857143,1,0,1,0,0,18,0,0,0,0,0,77.6731601731602,75.8874458874459,78.7445887445887,32.9437229437229,0,12:41:05 a.m.,1727728815.11577,416,20.81341,29.66232,47.60809,1,27,408
66fb1ffc7835ef5c35eb8e92,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:35,2024,9,30,16,2,36,1,0.636363636363636,0.642857142857143,1,0,1,0,0,18,0,0,0,0,0,77.3701298701299,75.5844155844156,78.4415584415584,32.7922077922078,0,12:41:10 a.m.,1727728820.12114,417,20.82853,29.63676,47.5421,1,33,421
66fb20017835ef5c35eb8ec5,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:41,2024,9,30,16,2,41,1,0.619429590017825,0.642857142857143,0.981818181818182,0,1,0,0,18,0,0,0,0.015151515151515,0,76.6678125795773,74.7911892029539,78.1028775146422,32.4410491469315,0,12:41:15 a.m.,1727728825.12782,414,20.90236,29.66595,47.57004,1,35,425
66fb20067835ef5c35eb8ef9,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:46,2024,9,30,16,2,47,1,0.629014604246802,0.678571428571429,0.977777777777778,0.012554112554113,0.987445887445887,0,0,19,0,0,0.009569377990431,0.009569377990431,0,77.3144190690631,75.7844767891208,79.7231492277932,32.9791792315012,0,12:41:20 a.m.,1727728830.13525,411,20.90236,29.66919,47.50614,1,43,442
66fb200c7835ef5c35eb8f3b,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:52,2024,9,30,16,2,52,1,0.621212121212121,0.678571428571429,0.943850267379679,0.064041677276971,0.935958322723029,0,0,19,0,0,0.052631578947368,0,0,76.4798192004074,75.5525528393175,79.5670995670996,33.076754944402,0,12:41:25 a.m.,1727728835.13829,414,20.88644,29.69875,47.47219,1,48,452
66fb20117835ef5c35eb8f6e,66fb15827835ef5c35eb2ad9,30/09/2024 16:02:57,2024,9,30,16,2,58,1,0.616028708133971,0.714285714285714,0.98989898989899,0.027488116458705,0.972511883541295,0,0,20,0,0,0.009090909090909,0,0,77.832839674945,76.766084942749,80.892002734108,33.4770152877738,0,12:41:30 a.m.,1727728840.14128,411,20.89042,29.73557,47.46294,1,41,437
66fb20177835ef5c35eb8fa1,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:03,2024,9,30,16,3,3,0.995215311004785,0.658160552897395,0.678571428571429,0.957404931669638,0.010398098633393,0.989601901366607,0,0,19,0,0,0.038277511961723,0,0,77.3702638950317,75.7061171757379,80.1146806409964,32.9975032277664,0,12:41:35 a.m.,1727728845.14418,419,20.85898,29.73804,47.41373,1,41,438
66fb201e7835ef5c35eb8fd4,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:10,2024,9,30,16,3,10,1,0.567251461988304,0.678571428571429,0.941176470588235,0,1,0,0,19,0,0,0.052631578947368,0,0,75.3471300801022,73.4458695759005,78.4878863826232,31.8699936114797,0,12:41:40 a.m.,1727728850.14972,420,20.84943,29.73785,47.42222,1,43,443
66fb20277835ef5c35eb9017,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:19,2024,9,30,16,3,19,1,0.580501253132832,0.75,0.94359477124183,0.03843137254902,0.961568627450981,0,0,21,0,0,0.047619047619048,0,0,76.7319204874932,75.7763649319377,81.6100250626566,33.1252739692368,0,12:41:45 a.m.,1727728855.15642,413,20.80963,29.74319,47.33868,1,39,435
66fb202c7835ef5c35eb904a,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:24,2024,9,30,16,3,25,1,0.663948306595366,0.642857142857143,0.941399286987522,0,1,0,0,18,0,0,0,0,0,76.7498090145149,74.6710911637382,78.993251846193,32.4820473644003,0,12:41:50 a.m.,1727728860.16144,413,20.80366,29.73385,47.28022,1,50,458
66fb20317835ef5c35eb907d,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:29,2024,9,30,16,3,30,1,0.732820855614973,0.642857142857143,0.941993464052288,0,1,0,0,18,0,0,0,0,0,78.1391435362024,76.0633965707495,80.3707028265852,33.176714625244,0,12:41:55 a.m.,1727728865.16532,420,20.80406,29.75521,47.24436,1,50,457
66fb20377835ef5c35eb90b0,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:34,2024,9,30,16,3,35,0.98,0.759575163398693,0.714285714285714,0.94499484004128,0,1,0,0,20,0,0,0,0,0,79.3056857830852,77.6020885547202,82.9629318394025,33.9885571772569,0,12:42:00 a.m.,1727728870.1759,409,20.76983,29.78611,47.28584,1,52,461
66fb203c7835ef5c35eb90e3,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:40,2024,9,30,16,3,41,0.929562542720438,0.678525860104808,0.75,0.946039340776183,0,1,0,0,21,0,0,0,0,0,76.9803675856308,75.4605642895117,80.7530189109137,33.0412774360143,0,12:42:05 a.m.,1727728875.18917,420,20.6964,29.80232,47.27106,1,41,438
66fb20427835ef5c35eb9116,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:45,2024,9,30,16,3,46,0.937161084529506,0.717038809144072,0.714285714285714,0.943850267379679,0,1,0,0,20,0,0,0,0,0,77.3610943579984,75.6517742663254,80.3986481354903,33.1233587533897,0,12:42:10 a.m.,1727728880.19259,400,20.76028,29.80595,47.25428,1,34,424
66fb20477835ef5c35eb9149,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:51,2024,9,30,16,3,51,0.943850267379679,0.689542483660131,0.642857142857143,0.943256090314914,0,1,0,0,18,0,0,0,0,0,75.89508530685,73.8256514727103,77.2591460826755,32.1950598421187,0,12:42:15 a.m.,1727728885.1975,410,20.77102,29.8275,47.21251,1,41,439
66fb204c7835ef5c35eb917c,66fb15827835ef5c35eb2ad9,30/09/2024 16:03:56,2024,9,30,16,3,57,0.947046783625731,0.730789473684211,0.714285714285714,0.941077533577534,0,1,0,0,20,0,0,0,0,0,77.8277954501639,76.1046116894801,81.069089390142,33.3319950517319,0,12:42:20 a.m.,1727728890.20223,419,20.73162,29.83894,47.15548,1,42,440
66fb20527835ef5c35eb91b0,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:02,2024,9,30,16,4,2,0.946810207336523,0.724428495481127,0.714285714285714,1,0,1,0,0,20,0,0,0,0,0,62.6597744360902,82.312865497076,78.5057340320498,33.8552441710336,0,12:42:25 a.m.,1727728895.21066,419,20.74117,29.88453,47.15567,1,37,430
66fb20577835ef5c35eb91f2,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:07,2024,9,30,16,4,8,0.95974025974026,0.727648667122351,0.75,1,0,1,0,0,21,0,0,0,0,0,63.8595352016405,83.8373205741627,81.0686944634313,34.3738892686261,0,12:42:30 a.m.,1727728900.21524,414,20.74157,29.88911,47.06001,1,36,428
66fb205d7835ef5c35eb9225,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:13,2024,9,30,16,4,13,1,0.692264752791069,0.714285714285714,1,0,1,0,0,20,0,0,0,0,0,63.2411141490089,82.3066188197767,79.7797903850536,34.0655046707678,0,12:42:35 a.m.,1727728905.22216,413,20.775,29.88129,47.01958,1,36,428
66fb20627835ef5c35eb9258,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:18,2024,9,30,16,4,19,1,0.780435938330675,0.678571428571429,0.993506493506494,0.0274064171123,0.972593582887701,0,0,19,0,0,0.004784688995215,0,0,64.2585826196507,83.0985607959292,78.5186450975925,34.799202775209,0,12:42:40 a.m.,1727728910.22976,417,20.78057,29.9263,47.03941,1,19,400
66fb20687835ef5c35eb928b,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:24,2024,9,30,16,4,24,0.946305156831473,0.722753854332802,0.678571428571429,0.986513486513486,0.005347593582888,0.994652406417112,0,0,19,0,0,0.009569377990431,0,0,61.6630888031817,80.6762608736293,76.3309789625579,33.3949151983208,0,12:42:45 a.m.,1727728915.23464,407,20.78057,29.9324,46.99278,1,24,400
66fb206d7835ef5c35eb92be,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:29,2024,9,30,16,4,30,0.995215311004785,0.71570191074835,0.678571428571429,1,0,1,0,0,19,0,0,0,0,0,62.6041205956067,81.5707774337805,77.7277641519128,33.8948865032456,0,12:42:50 a.m.,1727728920.23811,417,20.81958,29.92382,46.95387,1,30,414
66fb20737835ef5c35eb92f1,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:35,2024,9,30,16,4,35,1,0.737200435729848,0.642857142857143,1,0,1,0,0,18,0,0,0,0,0,62.1294351073763,80.9300108932462,75.9434329287271,33.8005757858699,0,12:42:55 a.m.,1727728925.24145,414,20.83988,29.95167,46.95768,1,29,412
66fb20787835ef5c35eb9324,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:40,2024,9,30,16,4,41,1,0.735937064884433,0.75,1,0,1,0,0,21,0,0,0,0,0,64.7890559732665,84.6484266221108,82.3593706488443,34.8593706488443,0,12:43:00 a.m.,1727728930.24858,413,20.81102,29.94766,46.81864,1,28,409
66fb207e7835ef5c35eb9357,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:45,2024,9,30,16,4,46,0.981556163135111,0.693244474823422,0.75,1,0,1,0,0,21,0,0,0,0,0,63.7797903850535,83.3044543176122,81.3791296422875,34.2480063795853,0,12:43:05 a.m.,1727728935.25294,414,20.79072,29.94862,46.8605,1,29,412
66fb20837835ef5c35eb938a,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:51,2024,9,30,16,4,51,1,0.730994152046784,0.678571428571429,1,0,1,0,0,19,0,0,0,0,0,62.9291979949875,82.0248538011696,78.0242272347536,34.0956558061821,0,12:43:10 a.m.,1727728940.26202,413,20.78794,29.97894,46.85717,1,27,408
66fb20887835ef5c35eb93be,66fb15827835ef5c35eb2ad9,30/09/2024 16:04:56,2024,9,30,16,4,57,1,0.73471557682084,0.678571428571429,1,0,1,0,0,19,0,0,0,0,0,62.9850193665983,82.117889420521,78.0614414824941,34.1328700539227,0,12:43:15 a.m.,1727728945.26563,414,20.79311,29.9818,46.78202,1,23,400
